#,컬럼명,Comment,Not Null,PRIMARY KEY,Type,Type Mod,디폴트
1,CRTR_YM,기준연월,TRUE,Y,VARCHAR2(6),[NULL],[NULL]
2,PFM_BIZ_ID,수행사업ID,TRUE,Y,VARCHAR2(20),[NULL],[NULL]
3,INST_ID,기관ID,TRUE,Y,VARCHAR2(12),[NULL],[NULL]
4,TAET_YN,타겟여부,FALSE,N,VARCHAR2(1),[NULL],[NULL]
5,AID_BZR_FNDN_YS,보조사업자설립년수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
6,AID_BZR_CAP_CD,보조사업자시도코드,FALSE,N,VARCHAR2(2),[NULL],[NULL]
7,NTS_BT_CD,국세청업종코드,FALSE,N,VARCHAR2(7),[NULL],[NULL]
8,INST_TY_CD,기관유형코드,FALSE,N,VARCHAR2(3),[NULL],[NULL]
9,FTEP_STF_NUM,상근직원수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
10,MBR_NUM,회원수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
11,RPRSV_HSHD_DV_CD,대표자세대구분코드,FALSE,N,VARCHAR2(2),[NULL],[NULL]
12,RPRSV_AGGP_DV_CD,대표자연령대구분코드,FALSE,N,VARCHAR2(2),[NULL],[NULL]
13,RPRSV_DSCRD_YN,대표자불일치여부,FALSE,N,VARCHAR2(1),[NULL],[NULL]
14,ODN_CAPT_DV_CD,경상자본구분코드,FALSE,N,VARCHAR2(2),[NULL],[NULL]
15,OPCT_YN,운영비여부,FALSE,N,VARCHAR2(1),[NULL],[NULL]
16,AID_BIZ_EXE_TY_CD,보조사업집행유형코드,FALSE,N,VARCHAR2(2),[NULL],[NULL]
17,PBCN_DGR,공모차수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
18,PBAC_TY_DV_CD,공고유형구분코드,FALSE,N,VARCHAR2(2),[NULL],[NULL]
19,BIZCT_SUM_AMT,사업비합계금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
20,BIZCT_SBAT_AMT,사업비보조금금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
21,BIZCT_PYHWY_AMT,사업비자부담금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
22,BIZ_MDCN,사업개월수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
23,CONT_BIZ_YN,계속사업여부,FALSE,N,VARCHAR2(1),[NULL],[NULL]
24,THY_PFM_AID_BIZ_NUM,당해년도수행보조사업수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
25,RDP_TRGT_SUM_AMT,환수대상금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
26,AID_BIZ_DPI_DV_CD,예치유형코드,FALSE,N,VARCHAR2(3),[NULL],[NULL]
27,PRIV_AID_BIZ_CGP_YN,민간보조사업담당자여부,FALSE,N,VARCHAR2(1),[NULL],[NULL]
28,PRIV_AID_BZR_YN,민간보조사업자여부,FALSE,N,VARCHAR2(1),[NULL],[NULL]
29,PRTC_MNPW_N_LBST_GIVE_AMT,참여인력외인건비지급금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
30,PRTC_MNPW_N_LBST_GIVE_CNT,참여인력외인건비지급건수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
31,PRTC_MNPW_N_LBST_GIVE_AVG_AMT,참여인력외인건비지급평균금액,FALSE,N,"NUMBER(20,2)",[NULL],[NULL]
32,LODI_CNT,원거리건수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
33,RERE_DSCRD_CNT,주민등록불일치건수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
34,TMNT_CLT_NUM,당월거래처수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
35,TMNT_DLNG_AMT,당월거래금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
36,TMNT_CORP_CLT_NUM,당월법인거래처수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
37,TMNT_CORP_DLNG_AMT,당월법인거래금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
38,TMNT_INDV_BZR_CLT_NUM,당월개인사업자거래처수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
39,TMNT_INDV_BZR_DLNG_AMT,당월개인사업자거래금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
40,TMNT_INDV_CLT_NUM,당월개인거래처수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
41,TMNT_INDV_DLNG_AMT,당월개인거래금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
42,LTST_Y1_WTHN_OPBIZ_CLT_CNT,최근1년내개업거래처수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
43,LBST_EXE_CNT,인건비집행건수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
44,LBST_EXE_SUM_AMT,인건비집행합계금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
45,SBAT_EXE_SUM_AMT,보조금집행합계금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
46,EXE_PLAN_CHG_TMS,집행계획변경횟수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
47,TMNT_EXE_CNT,당월집행건수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
48,TMNT_EXE_AMT,당월집행금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
49,CUMU_EXE_CNT,누적집행건수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
50,CUMU_EXE_AMT,누적집행금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
51,CUMU_PYHWY_EXE_CNT,누적자부담집행건수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
52,CUMU_PYHWY_EXE_AMT,누적자부담집행금액,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
53,CARD_FR_USE_CNT,카드해외사용건수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
54,CARD_RTRCN_CNT,카드취소건수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
55,INVC_EXE_CNT,세금계산서집행건수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
56,ETI_EXE_CNT,전자세금계산서집행건수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
57,ETC_EXE_CNT,기타집행건수,FALSE,N,"NUMBER(20,0)",[NULL],[NULL]
